#    Tpb[ms]      Tbh[ms]      Dh+[cm]
  1.38856E+00 -2.75378E+02 -6.26609E-01
  1.78861E+00 -2.74978E+02  2.72033E+01
  2.18867E+00 -2.74578E+02  2.22762E+01
  2.58873E+00 -2.74178E+02 -4.91775E+00
  2.98879E+00 -2.73778E+02 -1.35074E+01
  3.38884E+00 -2.73378E+02 -8.81439E+00
  3.78890E+00 -2.72978E+02  7.77079E+00
  4.18896E+00 -2.72578E+02  1.42042E+01
  4.58901E+00 -2.72178E+02 -3.05219E+00
  4.98907E+00 -2.71778E+02 -5.18643E+00
  5.38913E+00 -2.71378E+02 -8.55208E+00
  5.78918E+00 -2.70978E+02 -1.55037E+00
  6.18924E+00 -2.70578E+02 -2.11364E+00
  6.58930E+00 -2.70178E+02 -7.63576E-01
  6.98936E+00 -2.69777E+02 -8.54485E-01
  7.38941E+00 -2.69377E+02 -1.49387E+01
  7.78947E+00 -2.68977E+02 -1.93855E+01
  8.18953E+00 -2.68577E+02 -2.75723E+01
  8.58958E+00 -2.68177E+02 -2.99490E+01
  8.98964E+00 -2.67777E+02 -1.93048E+01
  9.38970E+00 -2.67377E+02 -9.30503E+00
  9.78975E+00 -2.66977E+02  1.58548E+01
  1.01898E+01 -2.66577E+02  4.69649E+01
  1.05899E+01 -2.66177E+02  7.18440E+01
  1.09899E+01 -2.65777E+02  9.20027E+01
  1.13900E+01 -2.65377E+02  8.37337E+01
  1.17900E+01 -2.64977E+02  5.09646E+01
  1.21901E+01 -2.64577E+02  2.43246E+01
  1.25902E+01 -2.64177E+02  1.33801E+01
  1.29902E+01 -2.63777E+02 -1.07563E+01
  1.33903E+01 -2.63377E+02 -2.38885E+01
  1.37903E+01 -2.62977E+02 -3.64458E+01
  1.41904E+01 -2.62576E+02 -4.28483E+01
  1.45904E+01 -2.62176E+02 -5.33970E+01
  1.49905E+01 -2.61776E+02 -6.73098E+01
  1.53906E+01 -2.61376E+02 -6.93547E+01
  1.57906E+01 -2.60976E+02 -7.47388E+01
  1.61907E+01 -2.60576E+02 -7.71368E+01
  1.65907E+01 -2.60176E+02 -7.79271E+01
  1.69908E+01 -2.59776E+02 -6.88829E+01
  1.73908E+01 -2.59376E+02 -5.22830E+01
  1.77909E+01 -2.58976E+02 -3.85331E+01
  1.81910E+01 -2.58576E+02 -2.51993E+01
  1.85910E+01 -2.58176E+02 -6.75064E+00
  1.89911E+01 -2.57776E+02  6.77299E+00
  1.93911E+01 -2.57376E+02  2.19463E+01
  1.97912E+01 -2.56976E+02  3.59842E+01
  2.01912E+01 -2.56576E+02  4.72168E+01
  2.05913E+01 -2.56176E+02  5.25184E+01
  2.09914E+01 -2.55776E+02  6.67008E+01
  2.13914E+01 -2.55375E+02  7.40276E+01
  2.17915E+01 -2.54975E+02  7.43512E+01
  2.21915E+01 -2.54575E+02  8.85548E+01
  2.25916E+01 -2.54175E+02  8.25950E+01
  2.29916E+01 -2.53775E+02  7.42348E+01
  2.33917E+01 -2.53375E+02  6.37384E+01
  2.37918E+01 -2.52975E+02  4.82911E+01
  2.41918E+01 -2.52575E+02  3.61051E+01
  2.45919E+01 -2.52175E+02  2.13867E+01
  2.49919E+01 -2.51775E+02  3.38082E+00
  2.53920E+01 -2.51375E+02 -8.76045E+00
  2.57920E+01 -2.50975E+02 -2.32240E+01
  2.61921E+01 -2.50575E+02 -3.66418E+01
  2.65921E+01 -2.50175E+02 -4.48793E+01
  2.69922E+01 -2.49775E+02 -5.76580E+01
  2.73923E+01 -2.49375E+02 -6.13165E+01
  2.77923E+01 -2.48975E+02 -6.76108E+01
  2.81924E+01 -2.48574E+02 -7.29369E+01
  2.85924E+01 -2.48174E+02 -8.03222E+01
  2.89925E+01 -2.47774E+02 -8.56102E+01
  2.93925E+01 -2.47374E+02 -7.80123E+01
  2.97926E+01 -2.46974E+02 -6.30105E+01
  3.01927E+01 -2.46574E+02 -4.78248E+01
  3.05927E+01 -2.46174E+02 -2.73049E+01
  3.09928E+01 -2.45774E+02  3.19411E+00
  3.13928E+01 -2.45374E+02  3.92120E+01
  3.17929E+01 -2.44974E+02  7.25424E+01
  3.21929E+01 -2.44574E+02  8.62654E+01
  3.25930E+01 -2.44174E+02  8.33205E+01
  3.29931E+01 -2.43774E+02  6.60254E+01
  3.33931E+01 -2.43374E+02  5.70532E+01
  3.37932E+01 -2.42974E+02  3.20472E+01
  3.41932E+01 -2.42574E+02 -1.41142E+01
  3.45933E+01 -2.42174E+02 -3.23130E+01
  3.49934E+01 -2.41774E+02 -2.75473E+01
  3.53934E+01 -2.41373E+02 -1.61863E+00
  3.57935E+01 -2.40973E+02  2.42370E+01
  3.61935E+01 -2.40573E+02  2.52702E+01
  3.65936E+01 -2.40173E+02  1.71041E+01
  3.69936E+01 -2.39773E+02  2.64567E+00
  3.73937E+01 -2.39373E+02  4.38058E+01
  3.77937E+01 -2.38973E+02  6.84577E+01
  3.81938E+01 -2.38573E+02  3.82271E+01
  3.85939E+01 -2.38173E+02  2.51368E+01
  3.89939E+01 -2.37773E+02  2.38118E+01
  3.93940E+01 -2.37373E+02  1.89300E+01
  3.97940E+01 -2.36973E+02  1.06662E+01
  4.01941E+01 -2.36573E+02 -4.38353E-01
  4.05942E+01 -2.36173E+02 -1.31661E+01
  4.09942E+01 -2.35773E+02 -1.99509E+01
  4.13943E+01 -2.35373E+02 -4.07961E+01
  4.17943E+01 -2.34973E+02 -5.37753E+01
  4.21944E+01 -2.34572E+02 -5.96955E+01
  4.25944E+01 -2.34172E+02 -6.30639E+01
