#    Tpb[ms]      Tbh[ms]      Dh+[cm]
 -9.28308E+00 -2.84543E+02  9.29624E-01
 -8.28288E+00 -2.83542E+02  6.66273E-01
 -7.28268E+00 -2.82542E+02  1.10115E+00
 -6.28248E+00 -2.81542E+02  1.51963E+00
 -5.67308E+00 -2.80933E+02  2.00319E+00
 -5.47288E+00 -2.80732E+02  2.23044E+00
 -5.27268E+00 -2.80532E+02  3.46954E+00
 -5.07248E+00 -2.80332E+02  1.70447E+00
 -4.87228E+00 -2.80132E+02  2.35920E+00
 -4.67208E+00 -2.79932E+02  2.87460E+00
 -4.47188E+00 -2.79731E+02  2.78727E+00
 -4.27168E+00 -2.79531E+02  2.76494E+00
 -4.07148E+00 -2.79331E+02  3.67901E+00
 -3.87128E+00 -2.79131E+02  3.56438E+00
 -3.67108E+00 -2.78931E+02  3.54722E+00
 -3.47088E+00 -2.78730E+02  3.91850E+00
 -3.27068E+00 -2.78530E+02  4.45510E+00
 -3.07048E+00 -2.78330E+02  5.04512E+00
 -2.87028E+00 -2.78130E+02  5.07374E+00
 -2.67008E+00 -2.77930E+02  5.45284E+00
 -2.46988E+00 -2.77729E+02  6.15010E+00
 -2.26968E+00 -2.77529E+02  6.68579E+00
 -2.06948E+00 -2.77329E+02  7.12173E+00
 -1.86928E+00 -2.77129E+02  7.98480E+00
 -1.66908E+00 -2.76929E+02  8.73088E+00
 -1.46902E+00 -2.76729E+02  9.24324E+00
 -1.26899E+00 -2.76528E+02  9.66179E+00
 -1.06896E+00 -2.76328E+02  1.12758E+01
 -8.68932E-01 -2.76128E+02  1.42697E+01
 -6.68904E-01 -2.75928E+02  1.47778E+01
 -4.68875E-01 -2.75728E+02  1.77065E+01
 -2.68847E-01 -2.75528E+02  2.39985E+01
 -6.88180E-02 -2.75328E+02  2.80915E+01
  1.31211E-01 -2.75128E+02  1.62403E+01
  3.31239E-01 -2.74928E+02 -7.13699E+00
  5.31268E-01 -2.74728E+02 -1.15460E+01
  7.31296E-01 -2.74528E+02 -2.51138E+01
  9.31325E-01 -2.74328E+02 -4.82070E+01
  1.13135E+00 -2.74128E+02 -3.98200E+01
  1.33138E+00 -2.73928E+02 -1.97477E+01
  1.53141E+00 -2.73728E+02  6.59197E+00
  1.73144E+00 -2.73528E+02  2.59164E+01
  1.93147E+00 -2.73328E+02  2.19160E+01
  2.13150E+00 -2.73128E+02  2.16377E+01
  2.33152E+00 -2.72928E+02  1.07854E+01
  2.53155E+00 -2.72728E+02 -2.71832E+00
  2.73158E+00 -2.72528E+02 -9.59958E+00
  2.93161E+00 -2.72328E+02 -1.21407E+01
