#    Tpb[ms]      Tbh[ms]      Dh+[cm]
 -9.63926E+00 -2.76063E+02  1.29905E+00
 -8.63759E+00 -2.75061E+02  1.34589E+00
 -7.63592E+00 -2.74059E+02  1.66884E+00
 -6.63425E+00 -2.73058E+02  2.09928E+00
 -5.63258E+00 -2.72056E+02  2.38462E+00
 -5.43256E+00 -2.71856E+02  2.32945E+00
 -5.23253E+00 -2.71656E+02  3.48933E+00
 -5.03250E+00 -2.71456E+02  3.60044E+00
 -4.83247E+00 -2.71256E+02  2.77846E+00
 -4.63244E+00 -2.71056E+02  3.16294E+00
 -4.43241E+00 -2.70856E+02  3.02263E+00
 -4.23238E+00 -2.70656E+02  3.21581E+00
 -4.03236E+00 -2.70456E+02  3.56275E+00
 -3.83233E+00 -2.70256E+02  3.72079E+00
 -3.63230E+00 -2.70056E+02  4.09307E+00
 -3.43227E+00 -2.69856E+02  3.98150E+00
 -3.23224E+00 -2.69656E+02  4.11258E+00
 -3.03221E+00 -2.69456E+02  6.23836E+00
 -2.83218E+00 -2.69255E+02  4.65464E+00
 -2.63216E+00 -2.69055E+02  5.61023E+00
 -2.43213E+00 -2.68855E+02  5.87179E+00
 -2.23210E+00 -2.68655E+02  6.31318E+00
 -2.03207E+00 -2.68455E+02  7.05872E+00
 -1.83204E+00 -2.68255E+02  7.67720E+00
 -1.63201E+00 -2.68055E+02  8.89961E+00
 -1.43198E+00 -2.67855E+02  9.17997E+00
 -1.23196E+00 -2.67655E+02  9.76597E+00
 -1.03193E+00 -2.67455E+02  1.35234E+01
 -8.31899E-01 -2.67255E+02  1.55646E+01
 -4.31842E-01 -2.66855E+02  2.10697E+01
 -3.18400E-02 -2.66455E+02  2.46135E+01
  3.68182E-01 -2.66055E+02 -7.51663E+00
  7.68239E-01 -2.65655E+02 -3.71094E+01
  1.16830E+00 -2.65255E+02 -3.59019E+01
  1.56835E+00 -2.64855E+02  1.15725E+01
  1.96841E+00 -2.64455E+02  2.54347E+01
  2.36847E+00 -2.64055E+02  5.49167E+00
  2.76852E+00 -2.63655E+02 -1.22727E+01
  3.16858E+00 -2.63255E+02 -1.03203E+01
  3.56864E+00 -2.62855E+02 -1.87853E-01
  3.96870E+00 -2.62455E+02  1.58131E+01
  4.36875E+00 -2.62055E+02  1.94346E+00
